day_of_week,ActivityTime,agg_calories_by_hour,Activity24Time
Friday,5:00:00 PM,14035,17:00:00
Friday,6:00:00 PM,15696,18:00:00
Friday,7:00:00 PM,15854,19:00:00
Friday,8:00:00 PM,13622,20:00:00
Friday,9:00:00 PM,11829,21:00:00
Friday,10:00:00 PM,11384,22:00:00
Friday,11:00:00 PM,10145,23:00:00
Saturday,12:00:00 AM,9063,00:00:00
Saturday,1:00:00 AM,8851,01:00:00
Saturday,2:00:00 AM,8745,02:00:00
Saturday,3:00:00 AM,8315,03:00:00
Saturday,4:00:00 AM,8276,04:00:00
Saturday,5:00:00 AM,8281,05:00:00
Saturday,6:00:00 AM,8914,06:00:00
Saturday,7:00:00 AM,10542,07:00:00
Saturday,8:00:00 AM,12307,08:00:00
Saturday,9:00:00 AM,13978,09:00:00
Saturday,10:00:00 AM,14192,10:00:00
Saturday,11:00:00 AM,15196,11:00:00
Saturday,12:00:00 PM,15849,12:00:00
Saturday,1:00:00 PM,17659,13:00:00
Saturday,2:00:00 PM,16147,14:00:00
Saturday,3:00:00 PM,14212,15:00:00
Saturday,4:00:00 PM,13396,16:00:00
Saturday,5:00:00 PM,13324,17:00:00
Saturday,6:00:00 PM,14054,18:00:00
Saturday,7:00:00 PM,14634,19:00:00
Saturday,8:00:00 PM,12445,20:00:00
Saturday,9:00:00 PM,11776,21:00:00
Saturday,10:00:00 PM,11267,22:00:00
Saturday,11:00:00 PM,9686,23:00:00
